"0 name";"1 number phone";"2 age";"3 Address";"4 email"
"Sofia Flores";"+380661844024";"54";"70 Rockaway street apartment-88  Raleigh 51817-cod in USA";"bruck_1965@mail.ru"
"Jane Johnson";"+380668087327";"15";"46 Rockaway Beach Boulevard avenue apartment-76  Cleveland 39313-cod in USA";"olga1997@mail.ru"
"Jason White";"+38098284597";"21";"15 Breezy Point terrace apartment-186  Memphis 713-cod in USA";"sofia.1985@gmail.com"
"Frank Davis";"+380638716317";"48";"77 Brownsville terrace apartment-37  St. Louis 26387-cod in USA";"verona-2009@ukr.net"
"Sofia Wilson";"+380936744014";"19";"51 Old Fulton street apartment-70  Anaheim 33278-cod in USA";"anastasia-2000@ukr.net"
"Olga Davis";"+380633143609";"46";"23 Rockaway Freeway lane apartment-47  Oklahoma City 46678-cod in USA";"ann-1950@io.ua"
"Zak Williams";"+380669740981";"18";"84 St. Mark’s  terrace apartment-72  Long Beach";" 29760-cod in USA";"den-1975@io.ua"
"Harry Smith";"+380503050859";"33";"98 Parkway court apartment-198  Albuquerque 75793-cod in USA";"sofia1996@io.ua"
"German Lee";"+380508000765";"21";"44 Fort Greene lane apartment-143  Omaha 25567-cod in USA";"roman_2008@ukr.net"
"Donald Brown";"+380931343891";"14";"47 Lafayette boulevard apartment-182  Raleigh 76917-cod in USA";"mery.1985@io.ua"
"Ann Hill";"+380935153573";"27";"11 Old Fulton terrace apartment-84  Denver 45582-cod in USA";"german.1979@mail.ru"
"Den Flores";"+380954910917";"30";"23 Rockaway Beach Boulevard avenue apartment-110  Virginia Beach 63023-cod in USA";"antony_1980@ukr.net"
"Lena Taylor";"+380936392071";"22";"16 Belle Harbor lane apartment-150  Austin 18342-cod in USA";"viola-1992@mail.ru"
"Frank Martin";"+380982707117";"39";"26 Dyre avenue apartment-22  Long Beach";" 39320-cod in USA";"anastasia.1956@mail.ru"
"Roman Walker";"+380986075039";"33";"44 Rockaway Point court apartment-193  Tampa 40241-cod in USA";"roman_1987@ukr.net"
"Roman Hill";"+380667038635";"24";"15 Rockaway Freeway court apartment-21  St. Louis 22777-cod in USA";"viola-1978@mail.ru"
"Sofia Torres";"+380936670031";"49";"18 Fort Greene lane apartment-167  Honolulu 22405-cod in USA";"julia.1988@mail.ru"
"Marya Scott";"+380936090227";"46";"91 Lafayette street apartment-175  Jacksonville 10253-cod in USA";"german.1995@ukr.net"
"Bob Robinson";"+380981398465";"54";"10 Bayswater avenue apartment-91  Anaheim 53804-cod in USA";"antony-1964@mail.ru"
"Lena Taylor";"+380982574353";"38";"31 Dyre boulevard apartment-180  Tucson 24983-cod in USA";"anastasia1955@io.ua"
"Bruck Lopez";"+380959893745";"42";"20 Rockaway court apartment-10  Raleigh 73306-cod in USA";"marya-1997@ukr.net"
"Marina Torres";"+380931046815";"27";"28 Parkway lane apartment-181  Riverside 30865-cod in USA";"roman_1975@gmail.com"
"Bruck Wilson";"+380985353611";"27";"10 Dyre boulevard apartment-122  San Jose 62604-cod in USA";"jek1977@gmail.com"
"Marina Taylor";"+380687214440";"46";"28 Clinton Hill terrace apartment-52  Los Angeles 50911-cod in USA";"julia.1981@io.ua"
"Harry Young";"+380956738992";"41";"36 Fort Greene lane apartment-175  Charlotte 72161-cod in USA";"sofia_2009@mail.ru"
"Jon Scott";"+380983716502";"53";"96 Lafayette boulevard apartment-147  Austin 45780-cod in USA";"henry1959@io.ua"
"Bob Smith";"+380934011900";"38";"90 Dyre lane apartment-199  Riverside 70919-cod in USA";"kristina1987@io.ua"
"Clara Lewis";"+38063669097";"37";"90 Bayswater avenue apartment-84  Chicago 68240-cod in USA";"harry.1975@io.ua"
"Bob RodriguezMartinez";"+380956107886";"48";"98 Park lane apartment-175  Corpus Christi 94046-cod in USA";"mery_1986@io.ua"
"Antony Harries";"+38099301038";"48";"45 Dyre boulevard apartment-86  Las Vegas 51837-cod in USA";"henry_2000@io.ua"
"Nait Miller";"+380505412535";"35";"23 Breezy Point boulevard apartment-31  Philadelphia 41812-cod in USA";"donald.1990@io.ua"
"Bruck Clark";"+380506157340";"55";"34 El Barrio boulevard apartment-194  Las Vegas 85776-cod in USA";"viola.1950@ukr.net"
"Anastasia Clark";"+380994950473";"37";"22 Cadman Plaza West terrace apartment-93  Austin 14012-cod in USA";"antony1975@gmail.com"
"Antony White";"+380505276526";"26";"14 Parkway lane apartment-9  Long Beach";" 52348-cod in USA";"olga.1980@mail.ru"
"Bruck Wilson";"+380687278750";"14";"11 Old Fulton lane apartment-45  St. Louis 80261-cod in USA";"jane-1958@gmail.com"
"Bruck Smith";"+380999329829";"29";"38 Parkway street apartment-58  Long Beach";" 84355-cod in USA";"viola-2009@gmail.com"
"Frank King";"+380987631670";"51";"24 Bayswater boulevard apartment-19  Detroit 73534-cod in USA";"jon-2003@gmail.com"
"Sofia Smith";"+380663623752";"18";"87 El Barrio boulevard apartment-158  Chicago 71959-cod in USA";"olga2009@gmail.com"
"Jek Williams";"+380508646275";"33";"79 Bedford-Stuyvesant boulevard apartment-72  Anaheim 25810-cod in USA";"donald_1983@gmail.com"
"Zak Lee";"+380939316614";"30";"58 St. Mark’s  street apartment-105  Boston 48486-cod in USA";"jon_1986@ukr.net"
"Donald Taylor";"+38068264054";"23";"44 Rockaway Freeway court apartment-140  Miami 61832-cod in USA";"clara_1977@gmail.com"
"Roman Thompson";"+380959476574";"46";"61 Fort Greene avenue apartment-64  Kansas City 14138-cod in USA";"kristina-1982@io.ua"
"Antony Perez";"+380956373270";"17";"56 Belle Harbor court apartment-195  Texas 6705-cod in USA";"anastasia1966@io.ua"
"Antony Thompson";"+380638076647";"24";"44 El Barrio terrace apartment-71  Tampa 70192-cod in USA";"sofia1986@ukr.net"
"Marya Moore";"+380665491287";"28";"33 Metro North lane apartment-75  Tampa 41173-cod in USA";"bob2007@gmail.com"
"Jek Anderson";"+38093583884";"42";"92 Brownsville terrace apartment-121  Raleigh 32704-cod in USA";"jon.1966@mail.ru"
"Bruck Johnson";"+38050449835";"17";"89 Metro North terrace apartment-130  Miami 53708-cod in USA";"roman.1957@gmail.com"
"Anastasia Johnson";"+380662833674";"50";"3 Bedford-Stuyvesant boulevard apartment-193  Los Angeles 30064-cod in USA";"anastasia-2002@mail.ru"
"Verona Scott";"+38068174284";"47";"84 Fort Greene boulevard apartment-130  Tulsa 96068-cod in USA";"olga-1999@gmail.com"
"Marya Hill";"+380689003997";"55";"33 Brownsville court apartment-188  Phoenix 9112-cod in USA";"roman-1960@io.ua"
"Bruck Lewis";"+380661020497";"58";"34 Canarsie boulevard apartment-185  Nashville 27518-cod in USA";"verona.1990@ukr.net"
"Marya Anderson";"+380683468528";"17";"12 Cadman Plaza West boulevard apartment-57  Cleveland 16533-cod in USA";"bob1969@ukr.net"
"Antony Jackson";"+380991500542";"51";"14 Bayswater lane apartment-178  Minneapolis 34904-cod in USA";"sofia.1975@ukr.net"
"Harry Jones";"+380936660955";"48";"57 Rockaway Point terrace apartment-48  Los Angeles 28188-cod in USA";"harry1992@mail.ru"
"Viola Anderson";"+380504607023";"33";"79 Bedford-Stuyvesant boulevard apartment-164  Oklahoma City 29905-cod in USA";"bob_1998@mail.ru"
"Harry Lee";"+380639150275";"30";"21 Brownsville boulevard apartment-57  Milwaukee 60024-cod in USA";"marya_1986@gmail.com"
"Julia King";"+380636970641";"33";"38 Old Fulton street apartment-124  Miami 33148-cod in USA";"ann-2001@io.ua"
"Olga White";"+380991079911";"36";"84 Lafayette court apartment-164  Colorado Springs 67354-cod in USA";"jane-1967@ukr.net"
"Ann Anderson";"+380508714910";"44";"34 Rockaway Beach Boulevard lane apartment-7  Long Beach";" 45159-cod in USA";"marya.1964@io.ua"
"Viola Lewis";"+380631885829";"57";"98 Canarsie lane apartment-76  Minneapolis 42092-cod in USA";"nait1961@mail.ru"
"Nait Miller";"+3809349350";"59";"30 Old Fulton street apartment-5  Long Beach";" 47101-cod in USA";"jane_1953@ukr.net"
"Jon Johnson";"+380954277132";"42";"81 Rockaway terrace apartment-35  Virginia Beach 86572-cod in USA";"henry_1981@ukr.net"
"Marina Martin";"+380631212553";"14";"17 Dyre lane apartment-174  Corpus Christi 53588-cod in USA";"donald-1967@ukr.net"
"Ann Lopez";"+380938382907";"56";"80 Rockaway Beach Boulevard avenue apartment-97  Texas 46387-cod in USA";"kristina1984@ukr.net"
"Roman Young";"+380996554808";"24";"6 Old Fulton street apartment-127  Long Beach";" 94395-cod in USA";"marina.1979@gmail.com"
"German Flores";"+38095249482";"24";"83 Canarsie boulevard apartment-175  Philadelphia 61807-cod in USA";"jon.1977@ukr.net"
"Sofia King";"+380684747109";"49";"20 Belle Harbor avenue apartment-162  El Paso 40415-cod in USA";"clara_2009@io.ua"
"Lena Flores";"+380951769365";"29";"11 Bedford-Stuyvesant court apartment-92  Philadelphia 39779-cod in USA";"kristina1957@gmail.com"
"Sofia White";"+38093685374";"42";"16 Old Fulton avenue apartment-185  Georgia 613-cod in USA";"harry1973@ukr.net"
"Sofia Robinson";"+380997172288";"36";"46 Rockaway Freeway court apartment-41  Georgia 33930-cod in USA";"anastasia_1986@mail.ru"
"Zak Flores";"+380686859804";"58";"83 Fort Greene street apartment-51  Tulsa 95163-cod in USA";"verona-2001@mail.ru"
"Jek Wilson";"+380931312688";"40";"68 Fort Greene street apartment-46  Louisville 93968-cod in USA";"jon-2001@io.ua"
"Marina Taylor";"+380998169310";"46";"7 Fort Greene street apartment-190  Jacksonville 96632-cod in USA";"anastasia.1998@mail.ru"
"Kristina Moore";"+38093407983";"47";"51 Broadway lane apartment-83  Memphis 24323-cod in USA";"julia.1962@io.ua"
"Ann Smith";"+380931817540";"44";"34 El Barrio boulevard apartment-122  Austin 31793-cod in USA";"mery-1963@gmail.com"
"Mery King";"+380503946260";"37";"41 Rockaway Point street apartment-194  Baltimore 39995-cod in USA";"den_2006@io.ua"
"Verona Perez";"+380998250383";"20";"16 Bayswater court apartment-126  Austin 99510-cod in USA";"clara1975@ukr.net"
"Sofia Taylor";"+380504559821";"50";"62 Rockaway Point avenue apartment-99  Fresno 83285-cod in USA";"marya_1957@gmail.com"
"Nait Miller";"+380991152873";"43";"72 Canarsie boulevard apartment-189  Milwaukee 64921-cod in USA";"marina.2009@mail.ru"
"Clara RodriguezMartinez";"+380984847188";"31";"63 Brownsville lane apartment-184  Atlanta 65688-cod in USA";"bruck.2006@ukr.net"
"Ann Jones";"+380933581424";"59";"31 Parkway street apartment-126  Indianapolis 12526-cod in USA";"nait1987@gmail.com"
"Anastasia Walker";"+38099221793";"29";"68 Cadman Plaza West street apartment-47  Virginia Beach 35682-cod in USA";"roman1990@io.ua"
"Jon Thompson";"+380998016076";"31";"29 Broadway terrace apartment-165  San Francisco 37822-cod in USA";"lena.1997@mail.ru"
"Zak Clark";"+380635178701";"20";"68 Park avenue apartment-1  Virginia Beach 64826-cod in USA";"lena_1976@ukr.net"
"Verona Lee";"+380663311977";"19";"62 Rockaway Freeway terrace apartment-66  Baltimore 55768-cod in USA";"roman-1952@ukr.net"
"Olga Jackson";"+38098792380";"52";"8 Boulevard street apartment-64  Fresno 87490-cod in USA";"verona_1961@ukr.net"
"German Hill";"+380508117842";"17";"59 Metro North avenue apartment-87  Mesa 97672-cod in USA";"harry_1983@ukr.net"
"Donald RodriguezMartinez";"+380934712086";"51";"6 Bedford-Stuyvesant  terrace apartment-40  Texas 12641-cod in USA";"roman_1981@mail.ru"
"Marina Garcia";"+380504451570";"27";"29 Dyre avenue apartment-72  Oakland 25319-cod in USA";"jane_1962@io.ua"
"Antony Miller";"+380509079843";"25";"67 St. Mark’s  street apartment-12  ColumbusFort Worth 52122-cod in USA";"harry.1993@io.ua"
"Viola Garcia";"+380934916859";"34";"61 Bedford-Stuyvesant terrace apartment-145  Miami 2192-cod in USA";"donald_1980@mail.ru"
"Antony Moore";"+380936358965";"39";"48 Ferry Road lane apartment-185  Colorado Springs 32260-cod in USA";"bob1966@gmail.com"
"Roman Johnson";"+380687740681";"56";"16 Parkway boulevard apartment-61  Oakland 32598-cod in USA";"zak_1979@ukr.net"
"Henry Young";"+380986108969";"16";"53 Belle Harbor terrace apartment-141  El Paso 84721-cod in USA";"olga-1963@gmail.com"
"Viola Young";"+380937922462";"24";"53 Clinton Hill court apartment-184  Dallas 25574-cod in USA";"marina-1971@ukr.net"
"Sofia Hill";"+380988383161";"32";"8 Boulevard boulevard apartment-8  Philadelphia 68983-cod in USA";"marina2005@mail.ru"
"Viola Scott";"+380508816400";"26";"33 Metro North street apartment-56  Houston 58494-cod in USA";"harry1967@ukr.net"
"Jek King";"+380635218307";"23";"35 Rockaway street apartment-107  El Paso 52042-cod in USA";"henry1952@io.ua"
"Harry Jackson";"+380506055680";"50";"29 Park terrace apartment-131  New Orleans 33563-cod in USA";"clara-2004@ukr.net"
"Roman Clark";"+380952185734";"57";"77 Park avenue apartment-73  Jacksonville 21592-cod in USA";"marina.1981@io.ua"
"Donald Moore";"+380665335551";"44";"90 Broadway lane apartment-125  Miami 37250-cod in USA";"frank1968@mail.ru"
"Clara King";"+380637720770";"41";"24 Boulevard lane apartment-136  San Antonio 1382-cod in USA";"ann1975@io.ua"
"Ann Wilson";"+380634322351";"24";"42 Ferry Road terrace apartment-113  Milwaukee 87276-cod in USA";"frank-1981@io.ua"
"Bob Anderson";"+380934341283";"47";"68 Fort Greene terrace apartment-148  ColumbusFort Worth 32823-cod in USA";"kristina1987@gmail.com"
"Jason Brown";"+380634635201";"15";"57 Bayswater lane apartment-155  Texas 49686-cod in USA";"zak-1963@mail.ru"
"Olga Harries";"+380985596246";"14";"12 Ferry Road street apartment-171  Austin 35763-cod in USA";"olga1997@gmail.com"
"Verona Hill";"+380633756078";"26";"81 Rockaway boulevard apartment-178  Santa Ana 82150-cod in USA";"german-1987@gmail.com"
"Lena Johnson";"+380988995394";"22";"55 Belle Harbor terrace apartment-78  San Jose 33945-cod in USA";"harry.1969@io.ua"
"Ann Robinson";"+38099703964";"56";"31 Boulevard street apartment-140  Virginia Beach 91680-cod in USA";"german_1961@io.ua"
"Nait Scott";"+380981302221";"37";"96 Belle Harbor avenue apartment-122  Oakland 79464-cod in USA";"bruck1970@gmail.com"
"Anastasia Davis";"+380984719217";"58";"32 Bayswater court apartment-44  Austin 68802-cod in USA";"jane-1989@gmail.com"
"Ann Hill";"+380938698812";"49";"56 Ferry Road court apartment-179  Santa Ana 58893-cod in USA";"donald_1967@ukr.net"
"Henry Flores";"+380958797424";"30";"6 Cadman Plaza West boulevard apartment-35  Oklahoma City 13716-cod in USA";"den.1979@io.ua"
"Sofia Hill";"+380509189891";"56";"68 El Barrio avenue apartment-45  Milwaukee 26909-cod in USA";"jon.1974@io.ua"
"Kristina Williams";"+380958091046";"33";"42 Bayswater avenue apartment-20  Denver 41639-cod in USA";"olga.2009@gmail.com"
"Julia Taylor";"+380504905519";"56";"24 Breezy Point court apartment-88  Arlington 31088-cod in USA";"marya-1976@io.ua"
"Lena Lopez";"+380505933946";"57";"67 Broadway terrace apartment-198  Tulsa 72397-cod in USA";"frank.1990@io.ua"
"Julia Martin";"+380683893280";"29";"77 Park street apartment-73  Philadelphia 67773-cod in USA";"mery1986@io.ua"
"Julia Wilson";"+380506036084";"42";"49 Clinton Hill court apartment-164  Raleigh 63053-cod in USA";"jason-1991@gmail.com"
"Mery Davis";"+380954676520";"15";"22 Park avenue apartment-136  Oklahoma City 16229-cod in USA";"german.2004@mail.ru"
"Mery Anderson";"+380638409476";"27";"15 Clinton Hill lane apartment-141  Boston 66427-cod in USA";"antony_1995@ukr.net"
"German Walker";"+380953012952";"20";"70 Breezy Point court apartment-61  Arlington 58964-cod in USA";"zak1983@gmail.com"
"Nait Moore";"+380959178251";"47";"15 Dyre street apartment-19  San Francisco 68321-cod in USA";"jason_1971@ukr.net"
"Donald Wilson";"+380637852740";"17";"77 Ozone Park terrace apartment-9  Seattle 48635-cod in USA";"bruck.1974@io.ua"
"Bob Jones";"+380631289568";"56";"11 Belle Harbor terrace apartment-24  Tucson 47448-cod in USA";"donald.2000@io.ua"
"Den Thomas";"+380993310080";"25";"80 Boulevard terrace apartment-22  Dallas 81666-cod in USA";"bob1984@io.ua"
"Frank RodriguezMartinez";"+380982311704";"15";"82 Rockaway Point street apartment-142  Sacramento 26711-cod in USA";"roman1950@ukr.net"
"Frank Perez";"+380667561529";"42";"30 Metro North boulevard apartment-152  Texas 38882-cod in USA";"olga1964@io.ua"
"Harry Flores";"+380934669178";"33";"59 Belle Harbor terrace apartment-22  New York 69573-cod in USA";"donald-1955@ukr.net"
"Verona Lewis";"+380931029125";"57";"13 Metro North boulevard apartment-25  Honolulu 46299-cod in USA";"jason-1975@ukr.net"
"Mery Miller";"+380994550496";"38";"11 St. Mark’s  terrace apartment-168  Baltimore 78613-cod in USA";"marina1982@io.ua"
"Anastasia Lopez";"+380506225113";"58";"94 Clinton Hill street apartment-167  Anaheim 87228-cod in USA";"roman_1953@mail.ru"
"Harry Taylor";"+380669888077";"55";"91 Canarsie court apartment-37  San Francisco 47443-cod in USA";"jon-1958@io.ua"
"Jason King";"+380507536941";"27";"7 Ozone Park avenue apartment-84  Tampa 3215-cod in USA";"jane-1993@mail.ru"
"Frank Moore";"+380993932813";"47";"40 Rockaway Point street apartment-64  Georgia 98123-cod in USA";"bob_1972@gmail.com"
"Anastasia Robinson";"+380681071603";"51";"52 Old Fulton court apartment-153  Cleveland 60589-cod in USA";"julia_2008@io.ua"
"Den Miller";"+380632031266";"44";"7 Rockaway Point avenue apartment-64  Fresno 42033-cod in USA";"julia1958@mail.ru"
"Sofia Davis";"+380631419660";"52";"86 Clinton Hill avenue apartment-196  Austin 40146-cod in USA";"sofia.1979@ukr.net"
"Julia Flores";"+380501284514";"35";"86 Bedford-Stuyvesant street apartment-96  Austin 19805-cod in USA";"sofia1952@ukr.net"
"Henry Lewis";"+380958424885";"42";"25 Rockaway lane apartment-163  Baltimore 9954-cod in USA";"viola_1986@mail.ru"
"Mery Thompson";"+380669074210";"33";"33 Breezy Point boulevard apartment-147  New York 74822-cod in USA";"donald.1970@gmail.com"
"Clara King";"+380638365413";"15";"83 Dyre boulevard apartment-99  Detroit 52987-cod in USA";"bob_1951@ukr.net"
"Roman Brown";"+3805088061";"23";"26 Parkway boulevard apartment-86  Riverside 8698-cod in USA";"roman-2003@io.ua"
"Sofia Lopez";"+380684244652";"47";"23 Belle Harbor lane apartment-46  Omaha 51804-cod in USA";"ann2004@gmail.com"
"Marina Scott";"+380989861479";"30";"66 Clinton Hill avenue apartment-189  Seattle 16962-cod in USA";"julia-1973@mail.ru"
"Verona Young";"+380934879292";"19";"99 Bedford-Stuyvesant avenue apartment-59  Philadelphia 82026-cod in USA";"kristina1990@gmail.com"
"Olga White";"+380935126767";"24";"77 Bedford-Stuyvesant  terrace apartment-83  Louisville 53206-cod in USA";"zak.1980@io.ua"
"Lena Flores";"+380939265530";"47";"51 Metro North lane apartment-96  Oklahoma City 67523-cod in USA";"harry1951@mail.ru"
"Mery Williams";"+380958288131";"29";"37 Brownsville court apartment-177  Tucson 4073-cod in USA";"roman.1975@ukr.net"
"Marya Brown";"+380939823073";"33";"53 Bayswater avenue apartment-190  New York 41559-cod in USA";"nait_1950@io.ua"
"German Hill";"+380993528686";"19";"56 Canarsie avenue apartment-13  Riverside 44573-cod in USA";"sofia.1982@ukr.net"
"Harry Jones";"+380501282867";"31";"1 Clinton Hill boulevard apartment-192  Nashville 96793-cod in USA";"anastasia-1980@gmail.com"
"Jon Wilson";"+380931951199";"39";"49 El Barrio boulevard apartment-144  Milwaukee 99835-cod in USA";"den.1993@ukr.net"
"Frank Wilson";"+380639249450";"50";"69 Rockaway Freeway court apartment-70  Miami 58892-cod in USA";"henry-1954@gmail.com"
"Jason Clark";"+380665273839";"33";"60 Breezy Point court apartment-117  Omaha 9462-cod in USA";"german_2005@io.ua"
"German Robinson";"+380934331471";"36";"56 Clinton Hill street apartment-161  Los Angeles 81443-cod in USA";"jane1984@io.ua"
"Verona Scott";"+380933237899";"49";"63 Belle Harbor avenue apartment-158  Sacramento 45272-cod in USA";"mery_1969@gmail.com"
"Jane Garcia";"+380957647227";"49";"20 Rockaway Freeway court apartment-134  Tucson 66469-cod in USA";"verona1961@ukr.net"
"German Perez";"+380636955045";"14";"99 Canarsie terrace apartment-116  Corpus Christi 62914-cod in USA";"den1992@io.ua"
"Jane Garcia";"+380982209292";"16";"56 Lafayette avenue apartment-112  Sacramento 14239-cod in USA";"german_1962@mail.ru"
"Julia Flores";"+380631119957";"37";"85 Rockaway Beach Boulevard court apartment-174  Oklahoma City 53707-cod in USA";"roman_1983@io.ua"
"Frank Lee";"+380984321319";"17";"61 Lafayette avenue apartment-84  Charlotte 7088-cod in USA";"german1979@ukr.net"
"German Brown";"+380997431184";"24";"24 Rockaway Point lane apartment-146  Miami 80775-cod in USA";"jek1985@io.ua"
"Roman Lee";"+380982944451";"53";"94 Park boulevard apartment-160  El Paso 61855-cod in USA";"antony-1967@gmail.com"
"Ann Thomas";"+380953354681";"42";"22 Ozone Park street apartment-159  Kansas City 42019-cod in USA";"den_1977@gmail.com"
"Anastasia Johnson";"+380959771322";"49";"38 Fort Greene avenue apartment-65  Dallas 58443-cod in USA";"jason.1954@mail.ru"
"German Harries";"+380639042499";"42";"29 Brownsville court apartment-117  Dallas 85964-cod in USA";"frank.1988@mail.ru"
"Ann Jones";"+380957321602";"51";"3 Broadway boulevard apartment-34  Minneapolis 48456-cod in USA";"lena2000@io.ua"
"Bob Harries";"+380662326646";"40";"93 Bedford-Stuyvesant  court apartment-124  Nashville 91370-cod in USA";"nait-1983@gmail.com"
"Lena Perez";"+380955983266";"49";"58 Bedford-Stuyvesant  terrace apartment-65  Oklahoma City 24225-cod in USA";"jason_1961@mail.ru"
"Sofia Moore";"+380955248032";"50";"60 Lafayette court apartment-126  New Orleans 41640-cod in USA";"olga1954@mail.ru"
"Henry Thompson";"+380998068408";"34";"30 Rockaway Beach Boulevard street apartment-60  Portland 83977-cod in USA";"jek_1968@ukr.net"
"Bruck Hill";"+380987685143";"23";"75 Clinton Hill avenue apartment-197  San Antonio 29881-cod in USA";"roman.1998@gmail.com"
"Jon Perez";"+3806871401";"16";"84 Brownsville boulevard apartment-157  Raleigh 43267-cod in USA";"lena.1988@gmail.com"
"Antony Martin";"+380662990102";"51";"46 Rockaway Freeway terrace apartment-155  Tulsa 56415-cod in USA";"bob2005@gmail.com"
"Roman Davis";"+380632582751";"33";"38 St. Mark’s  terrace apartment-183  Dallas 15086-cod in USA";"lena_1968@ukr.net"
"Mery Young";"+380633936696";"18";"45 Canarsie boulevard apartment-97  Corpus Christi 89385-cod in USA";"lena.1999@ukr.net"
"Frank Miller";"+380505524648";"53";"25 Clinton Hill boulevard apartment-117  New Orleans 68315-cod in USA";"jane1984@io.ua"
"Jason Anderson";"+380951930597";"24";"78 Old Fulton boulevard apartment-168  Virginia Beach 89614-cod in USA";"lena_1952@mail.ru"
"Roman Flores";"+380509833494";"27";"1 Bayswater lane apartment-138  Cleveland 87989-cod in USA";"roman2002@ukr.net"
"Anastasia Young";"+380683426083";"58";"42 Old Fulton avenue apartment-147  San Antonio 80854-cod in USA";"harry2003@gmail.com"
"Marya Taylor";"+380992335000";"18";"54 Rockaway Freeway terrace apartment-15  Cleveland 44038-cod in USA";"roman_1990@ukr.net"
